"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE","ENGINE","VERSION","ROW_FORMAT","TABLE_ROWS","AVG_ROW_LENGTH","DATA_LENGTH","MAX_DATA_LENGTH","INDEX_LENGTH","DATA_FREE","AUTO_INCREMENT","CREATE_TIME","UPDATE_TIME","CHECK_TIME","TABLE_COLLATION","CHECKSUM","CREATE_OPTIONS","TABLE_COMMENT","MAX_INDEX_LENGTH","TEMPORARY"
"def","db_ura","audit_logs","BASE TABLE","InnoDB","10","Dynamic","54508","125","6832128","0","0","4194304","53236","2022-08-16 17:05:10","2022-08-25 09:41:42",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","cron_maintenence","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:10",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","failed_jobs","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","16384","0","1","2022-08-16 17:05:10",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","migrations","BASE TABLE","InnoDB","10","Dynamic","8","2048","16384","0","0","0","12","2022-08-16 17:05:10",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","mst_buyer","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:10",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_cancel_credit_debit_notes","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:10",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_comp","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","2","2022-08-16 17:05:10",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_credit_notes","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:11",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_debit_notes","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:11",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_device","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0",NULL,"2022-08-16 17:05:11",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_functionality","BASE TABLE","InnoDB","10","Dynamic","5","3276","16384","0","0","0","6","2022-08-16 17:05:11",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_godown","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0",NULL,"2022-08-16 17:05:11",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_invoice","BASE TABLE","InnoDB","10","Dynamic","6718","392","2637824","0","0","4194304","40029","2022-08-16 17:05:11","2022-08-25 09:41:41",NULL,"utf8_unicode_ci",NULL,,,"0","N"
"def","db_ura","mst_payment","BASE TABLE","InnoDB","10","Dynamic","10","1638","16384","0","0","0","11","2022-08-16 17:45:19",NULL,NULL,"utf8mb4_general_ci",NULL,,,"0","N"
"def","db_ura","mst_product","BASE TABLE","InnoDB","10","Dynamic","1112","147","163840","0","0","0","1151","2022-08-16 17:05:15","2022-08-24 17:48:53",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_product_creates","BASE TABLE","InnoDB","10","Dynamic","1260","2093","2637824","0","0","4194304","2845","2022-08-16 17:05:15","2022-08-24 17:48:53",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_purchases","BASE TABLE","InnoDB","10","Dynamic","471","3374","1589248","0","0","4194304","1144","2022-08-16 17:05:16","2022-08-24 18:25:56",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_report","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:17",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_role","BASE TABLE","InnoDB","10","Dynamic","3","5461","16384","0","0","0","4","2022-08-16 17:05:17",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_salesman_invoice","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:17",NULL,NULL,"utf8_unicode_ci",NULL,,,"0","N"
"def","db_ura","mst_sales_man","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:17",NULL,NULL,"utf8_unicode_ci",NULL,,,"0","N"
"def","db_ura","mst_schedulers","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","2","2022-08-16 17:05:17","2022-08-25 09:40:27",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_seller","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:17",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_tax","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_user","BASE TABLE","InnoDB","10","Dynamic","2","8192","16384","0","0","0","3","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","oauth_access_tokens","BASE TABLE","InnoDB","10","Dynamic","535","244","131072","0","81920","0",NULL,"2022-08-16 17:05:18","2022-08-25 09:36:23",NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","oauth_auth_codes","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","16384","0",NULL,"2022-08-16 17:05:18",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","oauth_clients","BASE TABLE","InnoDB","10","Dynamic","4","4096","16384","0","16384","0","5","2022-08-16 17:05:18",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","oauth_personal_access_clients","BASE TABLE","InnoDB","10","Dynamic","2","8192","16384","0","0","0","3","2022-08-16 17:05:18",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","oauth_refresh_tokens","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","16384","0",NULL,"2022-08-16 17:05:18",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","password_resets","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","16384","0",NULL,"2022-08-16 17:05:18",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","plt_common","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","purchase_recon","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","recon_dtl","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","routing","BASE TABLE","InnoDB","10","Dynamic","5","3276","16384","0","0","0","6","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","schedulers","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","2","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","scheduler_time","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:18",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","stock_adjustmant","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:19",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","trans_batch","BASE TABLE","InnoDB","10","Dynamic","6584","241","1589248","0","0","4194304","7727","2022-08-16 17:05:19","2022-08-25 09:41:35",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","trans_exceldata","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:05:21",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","trans_exceldata_hdr","BASE TABLE","InnoDB","10","Dynamic","4199","41348","173621248","0","327680","5242880","39830","2022-08-16 17:05:22","2022-08-25 09:41:40",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","trans_stock_manage","BASE TABLE","InnoDB","10","Dynamic","9315","170","1589248","0","0","4194304","9523","2022-08-16 17:07:00","2022-08-25 09:41:40",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","trans_stock_summary","BASE TABLE","InnoDB","10","Dynamic","1656","128","212992","0","0","0","1686","2022-08-16 17:07:07","2022-08-25 09:41:40",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","trans_trip_dtl","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:07:08",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","trans_trip_hdr","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-16 17:07:08",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","users","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","16384","0","1","2022-08-16 17:07:08",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
